Row no.,Region,Month:,Year:,Year & moths, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
117,Chhattisgarh,7,2020,202007, 31-07-2020, M,10.27,8620294,43.14
118,Chhattisgarh,8,2020,202008, 31-08-2020, M,5.63,9050422,42.97
119,Chhattisgarh,9,2020,202009, 30-09-2020, M,1.99,9158315,41.77
120,Chhattisgarh,10,2020,202010, 31-10-2020, M,6.66,8589223,41.05
121,Chhattisgarh,11,2020,202011, 30-11-2020, M,3.38,8705350,40.1
122,Chhattisgarh,12,2020,202012, 31-12-2020, M,7.2,8391157,40.15
123,Chhattisgarh,1,2021,202101, 31-01-2021, M,6.38,8828785,41.78
124,Chhattisgarh,2,2021,202102, 28-02-2021, M,5.99,8882237,41.77
125,Chhattisgarh,3,2021,202103, 31-03-2021, M,2.69,8580167,38.89
126,Chhattisgarh,4,2021,202104, 30-04-2021, M,3.04,9463460,42.96
127,Chhattisgarh,5,2021,202105, 31-05-2021, M,8.03,9313760,44.47
128,Chhattisgarh,6,2021,202106, 30-06-2021, M,2.57,9485491,42.66
129,Chhattisgarh,7,2021,202107, 31-07-2021, M,3.25,8798367,39.76
130,Chhattisgarh,8,2021,202108, 31-08-2021, M,3.78,8832789,40.04
131,Chhattisgarh,9,2021,202109, 30-09-2021, M,4.44,8730656,39.76
132,Chhattisgarh,10,2021,202110, 31-10-2021, M,3.05,9273796,41.54
133,Chhattisgarh,11,2021,202111, 30-11-2021, M,1.78,9674618,42.68
134,Chhattisgarh,12,2021,202112, 31-12-2021, M,2.15,9178194,40.55
135,Chhattisgarh,1,2022,202201, 31-01-2022, M,2.95,8500938,37.78
136,Chhattisgarh,2,2022,202202, 28-02-2022, M,1.71,9017314,39.49
137,Chhattisgarh,3,2022,202203, 31-03-2022, M,0.62,9213563,39.81
138,Chhattisgarh,4,2022,202204, 30-04-2022, M,0.63,9182412,39.6
139,Chhattisgarh,5,2022,202205, 31-05-2022, M,0.83,9158045,39.48
140,Chhattisgarh,6,2022,202206, 30-06-2022, M,1.19,9264047,39.99
141,Chhattisgarh,7,2022,202207, 31-07-2022, M,0.81,9384653,40.27
142,Chhattisgarh,8,2022,202208, 31-08-2022, M,0.36,9509955,40.53
143,Chhattisgarh,9,2022,202209, 30-09-2022, M,0.14,9410457,39.93
144,Chhattisgarh,10,2022,202210, 31-10-2022, M,0.9,9407168,40.13
145,Chhattisgarh,11,2022,202211, 30-11-2022, M,0.12,9186095,38.79
146,Chhattisgarh,12,2022,202212, 31-12-2022, M,3.43,9356493,40.77
147,Chhattisgarh,1,2023,202301, 31-01-2023, M,0.49,9369422,39.53
148,Delhi,1,2020,202001, 31-01-2020, M,22.23,5805284,47.79
149,Delhi,2,2020,202002, 29-02-2020, M,14.84,5856307,43.92
150,Delhi,3,2020,202003, 31-03-2020, M,17.04,5553805,42.65
151,Delhi,4,2020,202004, 30-04-2020, M,16.68,3119274,23.8
152,Delhi,5,2020,202005, 31-05-2020, M,42.27,2632404,28.91
153,Delhi,6,2020,202006, 30-06-2020, M,18.19,4418914,34.17
154,Delhi,7,2020,202007, 31-07-2020, M,20.3,4291053,33.97
155,Delhi,8,2020,202008, 31-08-2020, M,13.79,4850107,35.41
156,Delhi,9,2020,202009, 30-09-2020, M,12.53,4958373,35.59
157,Delhi,10,2020,202010, 31-10-2020, M,6.27,4842698,32.36
158,Delhi,11,2020,202011, 30-11-2020, M,6.57,5058039,33.83
159,Delhi,12,2020,202012, 31-12-2020, M,7.56,5341068,36.01
160,Delhi,1,2021,202101, 31-01-2021, M,12.51,5157974,36.65
